rank,recommendation_id,action_type,target_type,target_id,priority,status,trigger,reason,evidence_summary,source_view,created_at,orders,revenue,monetary_value,recency_days,low_review_rate,late_delivery_rate,avg_review_score,seller_reliability_score,revenue_share,avg_delay_days
11,REC-0011,SendReactivationOffer,Customer,011875f0176909c5cf0b14a9138bb691,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=4,016.91; recency_days=534; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,4016.91,534.0,,,,,,
12,REC-0012,SendReactivationOffer,Customer,5d09b0d82126457e2a8ebfb9c9a1ffc4,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,736.22; recency_days=570; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3736.22,570.0,,,,,,
13,REC-0013,SendReactivationOffer,Customer,931eabdf0636b8fd60369a8d759917d6,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,666.42; recency_days=481; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3666.42,481.0,,,,,,
14,REC-0014,SendReactivationOffer,Customer,03796b63235e0e0a299084988c662c7e,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,602.47; recency_days=559; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3602.47,559.0,,,,,,
15,REC-0015,SendReactivationOffer,Customer,59d66d72939bc9497e19d89c61a96d5f,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,559.99; recency_days=389; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3559.99,389.0,,,,,,
16,REC-0016,SendReactivationOffer,Customer,6f00d356a4be20527662aaf12116baab,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,184.55; recency_days=287; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3184.55,287.0,,,,,,
17,REC-0017,SendReactivationOffer,Customer,895617ab63a9ad8881d9470f7427cd25,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,126.50; recency_days=333; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3126.5,333.0,,,,,,
18,REC-0018,SendReactivationOffer,Customer,c6111f70f40b3420e387493c627c27fa,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,126.50; recency_days=328; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3126.5,328.0,,,,,,
19,REC-0019,SendReactivationOffer,Customer,58c1b085b54c03a1f1ab5f13d64c2b1c,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,064.72; recency_days=352; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3064.72,352.0,,,,,,
20,REC-0020,SendReactivationOffer,Customer,ff0ae98646e7bbb41cf0f0d3991fef98,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,048.27; recency_days=455; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3048.27,455.0,,,,,,
21,REC-0021,SendReactivationOffer,Customer,0f75637a7e2f7b6ae43665d1f7d0ca5d,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,044.12; recency_days=544; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3044.12,544.0,,,,,,
22,REC-0022,SendReactivationOffer,Customer,2ae8173a688e326821403a5b7a6858c2,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,042.36; recency_days=532; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3042.36,532.0,,,,,,
23,REC-0023,SendReactivationOffer,Customer,6172bd5b7f52ade8c6c4548b448ff54f,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,041.73; recency_days=424; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3041.73,424.0,,,,,,
24,REC-0024,SendReactivationOffer,Customer,ea984b06b18cc6905bc2f9b0a3d1c986,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,024.08; recency_days=525; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3024.08,525.0,,,,,,
25,REC-0025,SendReactivationOffer,Customer,ee2bb06c1d3f368e92084edefb7e4b57,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,016.01; recency_days=580; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3016.01,580.0,,,,,,
26,REC-0026,SendReactivationOffer,Customer,ae04948ad7210ea76801b331080e0b3a,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=3,009.53; recency_days=516; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,3009.53,516.0,,,,,,
27,REC-0027,SendReactivationOffer,Customer,d9f8d6be11fb416742c9e35e725303f7,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,938.17; recency_days=287; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2938.17,287.0,,,,,,
28,REC-0028,SendReactivationOffer,Customer,5599df2eeb9e2e4f377db24e09cb976f,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,913.47; recency_days=307; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2913.47,307.0,,,,,,
29,REC-0029,SendReactivationOffer,Customer,c21e93b1d7b7a416d0f36fa6ebc1d60a,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,827.00; recency_days=475; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2827.0,475.0,,,,,,
30,REC-0030,SendReactivationOffer,Customer,030a810edeec1ceea314282513023587,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,794.50; recency_days=482; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2794.5,482.0,,,,,,
31,REC-0031,SendReactivationOffer,Customer,81d8bf17c9e450228efeedd2603edfaa,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,784.16; recency_days=434; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2784.16,434.0,,,,,,
32,REC-0032,SendReactivationOffer,Customer,ec5d2f91c651ce345616c7035fab6f9d,High,proposed,"rfm_segment == ""Dormant High Value"" and monetary_value is present and recency_days is present",High historical value and long inactivity signal a winback opportunity.,"monetary_value=2,759.88; recency_days=281; rfm_segment=Dormant High Value",dormant_high_value,2026-06-02,,,2759.88,281.0,,,,,,
33,REC-0033,DeprioritizeRiskySeller,Seller,1ca7077d890b907f89be8c954a02686a,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=115; revenue=13,341.57; late_delivery_rate=13.87%; low_review_rate=64.96%; seller_reliability_score=55.5",seller_risk_watchlist,2026-06-02,115.0,13341.57,,,0.6496,0.1387,2.2,55.5,,-6.86
34,REC-0034,DeprioritizeRiskySeller,Seller,54965bbe3e4f07ae045b90b0b8541f52,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=78; revenue=10,961.30; late_delivery_rate=30.23%; low_review_rate=43.02%; seller_reliability_score=61.7",seller_risk_watchlist,2026-06-02,78.0,10961.3,,,0.4302,0.3023,2.94,61.7,,-2.4
35,REC-0035,DeprioritizeRiskySeller,Seller,2a1348e9addc1af5aaa619b1a3679d6b,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=52; revenue=2,843.00; late_delivery_rate=27.27%; low_review_rate=40.00%; seller_reliability_score=64.7",seller_risk_watchlist,2026-06-02,52.0,2843.0,,,0.4,0.2727,3.0,64.7,,0.71
36,REC-0036,DeprioritizeRiskySeller,Seller,bbad7e518d7af88a0897397ffdca1979,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=69; revenue=4,462.22; late_delivery_rate=22.35%; low_review_rate=44.71%; seller_reliability_score=65.0",seller_risk_watchlist,2026-06-02,69.0,4462.22,,,0.4471,0.2235,3.04,65.0,,-7.02
37,REC-0037,DeprioritizeRiskySeller,Seller,602044f2c16190c2c6e45eb35c2e21cb,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=50; revenue=3,739.16; late_delivery_rate=19.30%; low_review_rate=45.61%; seller_reliability_score=65.6",seller_risk_watchlist,2026-06-02,50.0,3739.16,,,0.4561,0.193,2.96,65.6,,-8.13
38,REC-0038,DeprioritizeRiskySeller,Seller,a49928bcdf77c55c6d6e05e09a9b4ca5,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=98; revenue=8,816.70; late_delivery_rate=20.75%; low_review_rate=43.40%; seller_reliability_score=65.9",seller_risk_watchlist,2026-06-02,98.0,8816.7,,,0.434,0.2075,2.95,65.9,,-4.59
39,REC-0039,DeprioritizeRiskySeller,Seller,2eb70248d66e0e3ef83659f71b244378,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=202; revenue=42,628.61; late_delivery_rate=10.85%; low_review_rate=49.53%; seller_reliability_score=66.4",seller_risk_watchlist,2026-06-02,202.0,42628.61,,,0.4953,0.1085,2.71,66.4,,-10.12
40,REC-0040,DeprioritizeRiskySeller,Seller,8e6d7754bc7e0f22c96d255ebda59eba,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=85; revenue=14,497.27; late_delivery_rate=10.00%; low_review_rate=45.38%; seller_reliability_score=69.9",seller_risk_watchlist,2026-06-02,85.0,14497.27,,,0.4538,0.1,2.97,69.9,,-6.29
41,REC-0041,DeprioritizeRiskySeller,Seller,972d0f9cf61b499a4812cf0bfa3ad3c4,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=83; revenue=8,089.29; late_delivery_rate=11.36%; low_review_rate=42.05%; seller_reliability_score=70.8",seller_risk_watchlist,2026-06-02,83.0,8089.29,,,0.4205,0.1136,2.96,70.8,,-9.76
42,REC-0042,DeprioritizeRiskySeller,Seller,2a261b5b644fa05f4f2700eb93544f2c,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=51; revenue=5,355.00; late_delivery_rate=19.51%; low_review_rate=36.59%; seller_reliability_score=71.5",seller_risk_watchlist,2026-06-02,51.0,5355.0,,,0.3659,0.1951,3.35,71.5,,-9.11
43,REC-0043,DeprioritizeRiskySeller,Seller,8444e55c1f13cd5c179851e5ca5ebd00,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=99; revenue=22,873.21; late_delivery_rate=10.09%; low_review_rate=40.37%; seller_reliability_score=72.7",seller_risk_watchlist,2026-06-02,99.0,22873.21,,,0.4037,0.1009,3.07,72.7,,-21.27
44,REC-0044,DeprioritizeRiskySeller,Seller,712e6ed8aa4aa1fa65dab41fed5737e4,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=79; revenue=39,815.00; late_delivery_rate=19.54%; low_review_rate=33.33%; seller_reliability_score=73.5",seller_risk_watchlist,2026-06-02,79.0,39815.0,,,0.3333,0.1954,3.45,73.5,,-9.81
45,REC-0045,DeprioritizeRiskySeller,Seller,88460e8ebdecbfecb5f9601833981930,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=248; revenue=31,546.55; late_delivery_rate=16.23%; low_review_rate=33.11%; seller_reliability_score=74.6",seller_risk_watchlist,2026-06-02,248.0,31546.55,,,0.3311,0.1623,3.36,74.6,,-10.96
46,REC-0046,DeprioritizeRiskySeller,Seller,5058e8c1e82653974541e83690655b4a,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=63; revenue=10,022.82; late_delivery_rate=10.26%; low_review_rate=35.90%; seller_reliability_score=74.6",seller_risk_watchlist,2026-06-02,63.0,10022.82,,,0.359,0.1026,3.08,74.6,,-16.36
47,REC-0047,DeprioritizeRiskySeller,Seller,95f83f51203c626648c875dd41874c7f,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=52; revenue=3,217.46; late_delivery_rate=2.99%; low_review_rate=44.78%; seller_reliability_score=74.6",seller_risk_watchlist,2026-06-02,52.0,3217.46,,,0.4478,0.0299,3.21,74.6,,-14.26
48,REC-0048,DeprioritizeRiskySeller,Seller,b2479f944e1b90cf8a5de1bbfde284d6,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=103; revenue=4,752.51; late_delivery_rate=11.45%; low_review_rate=35.11%; seller_reliability_score=75.6",seller_risk_watchlist,2026-06-02,103.0,4752.51,,,0.3511,0.1145,3.32,75.6,,-8.58
49,REC-0049,DeprioritizeRiskySeller,Seller,6fd52c528dcb38be2eea044946b811f8,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=67; revenue=7,743.02; late_delivery_rate=10.71%; low_review_rate=33.33%; seller_reliability_score=77.7",seller_risk_watchlist,2026-06-02,67.0,7743.02,,,0.3333,0.1071,3.5,77.7,,-11.23
50,REC-0050,DeprioritizeRiskySeller,Seller,897060da8b9a21f655304d50fd935913,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=317; revenue=23,023.92; late_delivery_rate=10.70%; low_review_rate=31.63%; seller_reliability_score=77.9",seller_risk_watchlist,2026-06-02,317.0,23023.92,,,0.3163,0.107,3.39,77.9,,-9.67
51,REC-0051,DeprioritizeRiskySeller,Seller,f46490624488d3ff7ce78613913a7711,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=83; revenue=5,802.85; late_delivery_rate=9.89%; low_review_rate=31.87%; seller_reliability_score=78.5",seller_risk_watchlist,2026-06-02,83.0,5802.85,,,0.3187,0.0989,3.46,78.5,,-9.16
52,REC-0052,DeprioritizeRiskySeller,Seller,18a349e75d307f4b4cc646a691ed4216,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=121; revenue=8,711.53; late_delivery_rate=4.05%; low_review_rate=33.11%; seller_reliability_score=80.2",seller_risk_watchlist,2026-06-02,121.0,8711.53,,,0.3311,0.0405,3.39,80.2,,-14.84
53,REC-0053,DeprioritizeRiskySeller,Seller,710e3548e02bc1d2831dfc4f1b5b14d4,High,proposed,orders >= 50 and severe seller risk threshold met,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=136; revenue=23,979.11; late_delivery_rate=3.52%; low_review_rate=31.69%; seller_reliability_score=81.1",seller_risk_watchlist,2026-06-02,136.0,23979.11,,,0.3169,0.0352,3.4,81.1,,-21.99
54,REC-0054,InvestigateSeller,Seller,ad781527c93d00d89a11eecd9dcad7c1,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=44; revenue=6,899.57; late_delivery_rate=27.27%; low_review_rate=40.91%; seller_reliability_score=64.7",seller_risk_watchlist,2026-06-02,44.0,6899.57,,,0.4091,0.2727,3.07,64.7,,-9.08
55,REC-0055,InvestigateSeller,Seller,835f0f7810c76831d6c7d24c7a646d4d,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=44; revenue=5,130.00; late_delivery_rate=26.00%; low_review_rate=34.00%; seller_reliability_score=69.5",seller_risk_watchlist,2026-06-02,44.0,5130.0,,,0.34,0.26,3.3,69.5,,-5.67
56,REC-0056,InvestigateSeller,Seller,ede0c03645598cdfc63ca8237acbe73d,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=46; revenue=2,518.37; late_delivery_rate=30.00%; low_review_rate=26.00%; seller_reliability_score=72.9",seller_risk_watchlist,2026-06-02,46.0,2518.37,,,0.26,0.3,3.62,72.9,,-4.19
57,REC-0057,InvestigateSeller,Seller,d3f39f05462b79a4562d35893a28f159,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=34; revenue=2,411.30; late_delivery_rate=13.16%; low_review_rate=39.47%; seller_reliability_score=73.2",seller_risk_watchlist,2026-06-02,34.0,2411.3,,,0.3947,0.1316,3.37,73.2,,-12.3
58,REC-0058,InvestigateSeller,Seller,850913d59ce317156b00f3705f1c3edb,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=32; revenue=2,690.00; late_delivery_rate=14.71%; low_review_rate=35.29%; seller_reliability_score=74.3",seller_risk_watchlist,2026-06-02,32.0,2690.0,,,0.3529,0.1471,3.35,74.3,,-7.37
59,REC-0059,InvestigateSeller,Seller,dc8798cbf453b7e0f98745e396cc5616,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=41; revenue=2,056.30; late_delivery_rate=5.88%; low_review_rate=41.18%; seller_reliability_score=74.6",seller_risk_watchlist,2026-06-02,41.0,2056.3,,,0.4118,0.0588,3.15,74.6,,-9.4
60,REC-0060,InvestigateSeller,Seller,c60b801f2d52c7f7f91de00870882a75,Medium,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=41; revenue=12,913.50; late_delivery_rate=14.63%; low_review_rate=31.71%; seller_reliability_score=75.7",seller_risk_watchlist,2026-06-02,41.0,12913.5,,,0.3171,0.1463,3.32,75.7,,-10.67
61,REC-0061,InvestigateSeller,Seller,82e0a475a88cc9595229d8029273f045,High,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=42; revenue=10,930.02; late_delivery_rate=6.25%; low_review_rate=40.00%; seller_reliability_score=75.9",seller_risk_watchlist,2026-06-02,42.0,10930.02,,,0.4,0.0625,3.35,75.9,,-8.14
62,REC-0062,InvestigateSeller,Seller,cac4c8e7b1ca6252d8f20b2fc1a2e4af,Medium,proposed,orders >= 30 and late_delivery_rate >= 0.15 or low_review_rate >= 0.18 or seller_reliability_score <= 75,Seller has meaningful order volume and elevated fulfillment or customer dissatisfaction risk.,"orders=75; revenue=4,168.18; late_delivery_rate=18.07%; low_review_rate=28.92%; seller_reliability_score=76.5",seller_risk_watchlist,2026-06-02,75.0,4168.18,,,0.2892,0.1807,3.53,76.5,,-5.01
63,REC-0063,MonitorDeliveryRisk,Geography,AL,Medium,proposed,orders >= 100 and late_delivery_rate >= 0.12,Customer geography has elevated delivery delay risk and should be monitored before changing promises or logistics rules.,"orders=413; revenue=96,962.06; late_delivery_rate=20.58%; avg_delay_days=-8.71",delivery_risk_by_state,2026-06-02,413.0,96962.06,,,0.2373,0.2058,,,,-8.71
64,REC-0064,MonitorDeliveryRisk,Geography,MA,High,proposed,orders >= 100 and late_delivery_rate >= 0.12,Customer geography has elevated delivery delay risk and should be monitored before changing promises or logistics rules.,"orders=747; revenue=152,523.02; late_delivery_rate=16.73%; avg_delay_days=-9.57",delivery_risk_by_state,2026-06-02,747.0,152523.02,,,0.2169,0.1673,,,,-9.57
65,REC-0065,MonitorDeliveryRisk,Geography,SE,Medium,proposed,orders >= 100 and late_delivery_rate >= 0.12,Customer geography has elevated delivery delay risk and should be monitored before changing promises or logistics rules.,"orders=350; revenue=75,246.25; late_delivery_rate=14.57%; avg_delay_days=-10.02",delivery_risk_by_state,2026-06-02,350.0,75246.25,,,0.2171,0.1457,,,,-10.02
66,REC-0066,MonitorDeliveryRisk,Geography,PI,Medium,proposed,orders >= 100 and late_delivery_rate >= 0.12,Customer geography has elevated delivery delay risk and should be monitored before changing promises or logistics rules.,"orders=495; revenue=108,523.97; late_delivery_rate=13.33%; avg_delay_days=-11.31",delivery_risk_by_state,2026-06-02,495.0,108523.97,,,0.1818,0.1333,,,,-11.31
67,REC-0067,MonitorDeliveryRisk,Geography,CE,Medium,proposed,orders >= 100 and late_delivery_rate >= 0.12,Customer geography has elevated delivery delay risk and should be monitored before changing promises or logistics rules.,"orders=1336; revenue=279,464.03; late_delivery_rate=13.17%; avg_delay_days=-10.80",delivery_risk_by_state,2026-06-02,1336.0,279464.03,,,0.1969,0.1317,,,,-10.8
68,REC-0068,InvestigateLowReviewProductCategory,ProductCategory,fashion_male_clothing,Medium,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=112; revenue=10,797.82; low_review_rate=28.03%; avg_review_score=3.64",review_risk_by_category,2026-06-02,112.0,10797.82,,,0.2803,0.053,3.64,,,-12.71
69,REC-0069,InvestigateLowReviewProductCategory,ProductCategory,office_furniture,High,proposed,orders >= 100 and low_review_rate >= 0.15,"Category has enough order volume and elevated low-review rate; investigate product, fulfillment, or expectation mismatch before growth actions.","orders=1273; revenue=273,960.70; low_review_rate=26.02%; avg_review_score=3.49",review_risk_by_category,2026-06-02,1273.0,273960.7,,,0.2602,0.0787,3.49,,,-11.85
